Investment and Capital Stock (ICSD),,,,,,,,,,,,,,,,,,
,2013,,2014,,2015,,2016,,2017,,2018,,2019,,,,,
Afghanistan,221.92,,224.82,,225.11,,225.83,,226.60,,228.39,,230.58,,,,,
Albania,22.23,,22.89,,23.56,,24.15,,24.70,,25.41,,26.21,,,,,
Algeria,483.28,,498.54,,520.90,,549.24,,570.16,,589.18,,603.38,,,,,
Angola,232.62,,248.56,,263.24,,264.80,,263.38,,265.87,,265.08,,,,,
Antigua and Barbuda,1.56,,1.58,,1.72,,1.74,,1.78,,1.73,,1.68,,,,,
Argentina,254.50,,270.74,,286.01,,301.46,,315.33,,330.93,,343.04,,,,,
Armenia,11.55,,11.50,,11.47,,11.52,,11.63,,11.94,,12.00,,,,,
Aruba,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,0.00,,,,,
Australia,427.11,,442.72,,458.45,,470.93,,487.71,,510.20,,532.65,,,,,
Austria,262.08,,263.56,,264.70,,266.05,,267.58,,269.79,,271.81,,,,,
Azerbaijan,50.58,,64.03,,74.17,,80.36,,84.87,,89.22,,97.53,,,,,
"Bahamas, The",2.03,,2.22,,2.42,,2.60,,2.83,,3.05,,3.16,,,,,
Bahrain,43.63,,44.52,,45.23,,45.95,,46.42,,47.55,,48.93,,,,,
Bangladesh,219.49,,237.74,,257.29,,278.99,,301.01,,328.26,,360.58,,,,,
Barbados,4.81,,4.74,,4.68,,4.66,,4.63,,4.53,,4.43,,,,,
Belarus,40.41,,43.28,,,,,,,,,,,,,,,
Belgium,210.83,,213.21,,216.96,,220.59,,223.89,,227.10,,231.58,,,,,
Belize,2.27,,2.33,,2.40,,2.49,,2.57,,2.60,,2.61,,,,,
Benin,16.39,,16.87,,17.14,,17.81,,18.23,,19.21,,20.00,,,,,
Bhutan,6.55,,6.78,,7.04,,7.26,,7.59,,8.00,,8.39,,,,,
Bolivia,53.36,,58.21,,63.52,,69.54,,75.52,,82.50,,88.05,,,,,
Bosnia and Herzegovina,30.45,,30.97,,31.87,,31.99,,32.13,,32.24,,32.48,,,,,
Botswana,27.56,,28.41,,29.80,,31.23,,32.85,,34.24,,35.61,,,,,
Brazil,"2,418.61",,"2,470.12",,"2,521.53",,"2,537.44",,"2,532.05",,"2,516.30",,"2,493.97",,,,,
Brunei Darussalam,20.89,,22.01,,22.81,,23.24,,23.51,,23.38,,22.95,,,,,
Bulgaria,62.15,,65.08,,69.60,,76.16,,77.21,,77.82,,79.75,,,,,
Burkina Faso,15.05,,16.32,,17.03,,17.73,,18.46,,19.67,,21.34,,,,,
Burundi,3.23,,3.59,,3.59,,3.62,,3.69,,3.83,,3.98,,,,,
Cabo Verde,2.74,,2.89,,2.93,,2.92,,2.89,,2.91,,2.93,,,,,
Cambodia,24.74,,27.62,,29.93,,30.91,,32.25,,33.10,,34.17,,,,,
Cameroon,28.86,,30.18,,32.08,,33.53,,35.94,,38.67,,40.43,,,,,
Canada,945.19,,967.04,,985.10,,"1,002.94",,"1,019.48",,"1,038.79",,"1,060.30",,,,,
Central African Republic,12.84,,12.55,,12.55,,12.44,,12.28,,12.25,,12.33,,,,,
Chad,7.94,,8.85,,9.49,,9.85,,9.93,,10.09,,10.31,,,,,
